simulation,time,ratio
4,1076.6977171845492,0.84
4,1076.6977171845492,0.84
4,1076.6977171845492,0.84
4,1076.6977171845492,0.84
4,1601.099132183893,0.38
4,1601.099132183893,0.38
4,1601.099132183893,0.38
4,1601.099132183893,0.38
4,1601.099132183893,0.38
4,1601.099132183893,0.38
4,1601.099132183893,0.38
4,1601.099132183893,0.38
4,2055.993829698495,0.38
4,2055.993829698495,0.38
4,2055.993829698495,0.38
4,2055.993829698495,0.38
4,2055.993829698495,0.38
4,5401.150380072448,0.17
4,5401.150380072448,0.17
4,5401.150380072448,0.17
4,5401.150380072448,0.17
4,5401.150380072448,0.17
4,5401.150380072448,0.17
4,5401.150380072448,0.17
4,5401.150380072448,0.17
4,5401.150380072448,0.17
4,5401.150380072448,0.17
4,5554.820879365099,0.17
4,13892.73061079681,0.01
4,489.71677059150375,0.93
4,489.71677059150375,0.93
4,489.71677059150375,0.93
4,489.71677059150375,0.93
4,489.71677059150375,0.93
4,972.3742153069635,0.82
4,972.3742153069635,0.82
4,972.3742153069635,0.82
4,972.3742153069635,0.82
4,972.3742153069635,0.82
4,972.3742153069635,0.82
4,972.3742153069635,0.82
4,972.3742153069635,0.82
4,972.3742153069635,0.82
4,972.3742153069635,0.82
4,972.3742153069635,0.82
4,972.3742153069635,0.82
4,1600.1041252940718,0.54
4,1600.1041252940718,0.54
4,1600.1041252940718,0.54
4,1600.1041252940718,0.54
4,1600.1041252940718,0.54
4,1600.1041252940718,0.54
4,1600.1041252940718,0.54
4,1600.1041252940718,0.54
4,1600.1041252940718,0.54
4,1600.1041252940718,0.54
4,1600.1041252940718,0.54
4,1600.1041252940718,0.54
4,6608.671173235913,0.25
4,6608.671173235913,0.25
4,6608.671173235913,0.25
4,6608.671173235913,0.25
4,6608.671173235913,0.25
4,6608.671173235913,0.25
4,6608.671173235913,0.25
4,9620.264318193404,0.25
4,9620.264318193404,0.25
4,9620.264318193404,0.25
4,13905.806638562317,0.03
5,60.79711452148983,0.9
5,60.79711452148983,0.9
5,60.79711452148983,0.9
5,60.79711452148983,0.9
5,60.79711452148983,0.9
5,60.79711452148983,0.9
5,60.79711452148983,0.9
5,60.79711452148983,0.9
5,60.79711452148983,0.9
5,60.79711452148983,0.9
5,60.79711452148983,0.9
5,60.79711452148983,0.9
5,176.7261909926256,0.75
5,176.7261909926256,0.75
5,176.7261909926256,0.75
5,346.2232277603616,0.7
5,346.2232277603616,0.7
5,346.2232277603616,0.7
5,346.2232277603616,0.7
5,346.2232277603616,0.7
5,346.2232277603616,0.7
5,346.2232277603616,0.7
5,346.2232277603616,0.7
5,487.7873317058417,0.7
5,487.7873317058417,0.7
5,487.7873317058417,0.7
5,487.7873317058417,0.7
5,487.7873317058417,0.7
5,487.7873317058417,0.7
5,487.7873317058417,0.7
5,487.7873317058417,0.7
5,487.7873317058417,0.7
5,487.7873317058417,0.7
5,487.7873317058417,0.7
5,487.7873317058417,0.7
5,487.7873317058417,0.7
5,507.18374690245463,0.7
5,951.0493210477301,0.2
5,951.0493210477301,0.2
5,1175.0012667152519,0.2
5,1175.0012667152519,0.2
5,1175.0012667152519,0.2
5,1175.0012667152519,0.2
5,1175.0012667152519,0.2
5,1175.4709365468248,0.2
5,1940.1061060380573,0.06
5,1940.1061060380573,0.06
5,1940.1061060380573,0.06
5,1940.1061060380573,0.06
5,1940.1061060380573,0.06
5,10.511621355785577,0.9
5,21.85805319904683,0.89
5,26.39114439119731,0.89
5,26.39114439119731,0.89
5,26.39114439119731,0.89
5,35.58911549533085,0.89
5,35.58911549533085,0.89
5,35.58911549533085,0.89
5,35.58911549533085,0.89
5,46.08646142760678,0.8
5,46.08646142760678,0.8
5,46.08646142760678,0.8
5,141.19398385064682,0.77
5,141.19398385064682,0.77
5,141.19398385064682,0.77
5,141.19398385064682,0.77
5,141.19398385064682,0.77
5,355.02716409561157,0.69
5,355.02716409561157,0.69
5,355.02716409561157,0.69
5,355.02716409561157,0.69
5,355.02716409561157,0.69
5,355.02716409561157,0.69
5,355.02716409561157,0.69
5,355.02716409561157,0.69
5,355.02716409561157,0.69
5,355.02716409561157,0.69
5,355.02716409561157,0.69
5,355.02716409561157,0.69
5,355.02716409561157,0.69
5,355.02716409561157,0.69
5,355.02716409561157,0.69
5,355.02716409561157,0.69
